OTU,ALancangBesar,BPari,CTidung,DKarangBeras,EPramuka,FKotok,GSepa
151,ASV1011,1,1,1,1,1,1,1
152,ASV1023,1,1,1,1,1,1,1
153,ASV1030,1,1,1,1,1,1,1
154,ASV1041,1,1,1,1,1,1,1
155,ASV1042,1,1,1,1,1,1,1
156,ASV1051,1,1,1,1,1,1,1
157,ASV1054,1,1,1,1,1,1,1
158,ASV1057,1,1,1,1,1,1,1
159,ASV1086,1,1,1,1,1,1,1
160,ASV1093,1,1,1,1,1,1,1
161,ASV1094,1,1,1,1,1,1,1
162,ASV1099,1,1,1,1,1,1,1
163,ASV1112,1,1,1,1,1,1,1
164,ASV1126,1,1,1,1,1,1,1
165,ASV1130,1,1,1,1,1,1,1
166,ASV1142,1,1,1,1,1,1,1
167,ASV1155,1,1,1,1,1,1,1
168,ASV1161,1,1,1,1,1,1,1
169,ASV1179,1,1,1,1,1,1,1
170,ASV1188,1,1,1,1,1,1,1
171,ASV1193,1,1,1,1,1,1,1
172,ASV1194,1,1,1,1,1,1,1
173,ASV1196,1,1,1,1,1,1,1
174,ASV1197,1,1,1,1,1,1,1
175,ASV1212,1,1,1,1,1,1,1
176,ASV1215,1,1,1,1,1,1,1
177,ASV1222,1,1,1,1,1,1,1
178,ASV1253,1,1,1,1,1,1,1
179,ASV1260,1,1,1,1,1,1,1
180,ASV1262,1,1,1,1,1,1,1
181,ASV1263,1,1,1,1,1,1,1
182,ASV1264,1,1,1,1,1,1,1
183,ASV1274,1,1,1,1,1,1,1
184,ASV1284,1,1,1,1,1,1,1
185,ASV1302,1,1,1,1,1,1,1
186,ASV1305,1,1,1,1,1,1,1
187,ASV1309,1,1,1,1,1,1,1
188,ASV1319,1,1,1,1,1,1,1
189,ASV1320,1,1,1,1,1,1,1
190,ASV1338,1,1,1,1,1,1,1
191,ASV1349,1,1,1,1,1,1,1
192,ASV1354,1,1,1,1,1,1,1
193,ASV1356,1,1,1,1,1,1,1
194,ASV1372,1,1,1,1,1,1,1
195,ASV1382,1,1,1,1,1,1,1
196,ASV1395,1,1,1,1,1,1,1
197,ASV1402,1,1,1,1,1,1,1
198,ASV1405,1,1,1,1,1,1,1
199,ASV1411,1,1,1,1,1,1,1
200,ASV1413,1,1,1,1,1,1,1
201,ASV1418,1,1,1,1,1,1,1
202,ASV1432,1,1,1,1,1,1,1
203,ASV1436,1,1,1,1,1,1,1
204,ASV1437,1,1,1,1,1,1,1
205,ASV1439,1,1,1,1,1,1,1
206,ASV1443,1,1,1,1,1,1,1
207,ASV1444,1,1,1,1,1,1,1
208,ASV1466,1,1,1,1,1,1,1
209,ASV1471,1,1,1,1,1,1,1
210,ASV1483,1,1,1,1,1,1,1
211,ASV1499,1,1,1,1,1,1,1
212,ASV1508,1,1,1,1,1,1,1
213,ASV1518,1,1,1,1,1,1,1
214,ASV1526,1,1,1,1,1,1,1
215,ASV1532,1,1,1,1,1,1,1
216,ASV1539,1,1,1,1,1,1,1
217,ASV1540,1,1,1,1,1,1,1
218,ASV1546,1,1,1,1,1,1,1
219,ASV1560,1,1,1,1,1,1,1
220,ASV1574,1,1,1,1,1,1,1
221,ASV1581,1,1,1,1,1,1,1
222,ASV1584,1,1,1,1,1,1,1
223,ASV1602,1,1,1,1,1,1,1
224,ASV1606,1,1,1,1,1,1,1
225,ASV1636,1,1,1,1,1,1,1
226,ASV1643,1,1,1,1,1,1,1
227,ASV1652,1,1,1,1,1,1,1
228,ASV1656,1,1,1,1,1,1,1
229,ASV1659,1,1,1,1,1,1,1
230,ASV1660,1,1,1,1,1,1,1
231,ASV1661,1,1,1,1,1,1,1
232,ASV1681,1,1,1,1,1,1,1
233,ASV1690,1,1,1,1,1,1,1
234,ASV1694,1,1,1,1,1,1,1
235,ASV1695,1,1,1,1,1,1,1
236,ASV1697,1,1,1,1,1,1,1
237,ASV1701,1,1,1,1,1,1,1
238,ASV1706,1,1,1,1,1,1,1
239,ASV1712,1,1,1,1,1,1,1
240,ASV1717,1,1,1,1,1,1,1
241,ASV1722,1,1,1,1,1,1,1
242,ASV1752,1,1,1,1,1,1,1
243,ASV1765,1,1,1,1,1,1,1
244,ASV1768,1,1,1,1,1,1,1
245,ASV1781,1,1,1,1,1,1,1
246,ASV1786,1,1,1,1,1,1,1
247,ASV1797,1,1,1,1,1,1,1
248,ASV1802,1,1,1,1,1,1,1
249,ASV1804,1,1,1,1,1,1,1
250,ASV1808,1,1,1,1,1,1,1
251,ASV1812,1,1,1,1,1,1,1
252,ASV1819,1,1,1,1,1,1,1
253,ASV1828,1,1,1,1,1,1,1
254,ASV1839,1,1,1,1,1,1,1
255,ASV1849,1,1,1,1,1,1,1
256,ASV1859,1,1,1,1,1,1,1
257,ASV1864,1,1,1,1,1,1,1
258,ASV1867,1,1,1,1,1,1,1
259,ASV1872,1,1,1,1,1,1,1
260,ASV1879,1,1,1,1,1,1,1
261,ASV1883,1,1,1,1,1,1,1
262,ASV1911,1,1,1,1,1,1,1
263,ASV1927,1,1,1,1,1,1,1
264,ASV1928,1,1,1,1,1,1,1
265,ASV1932,1,1,1,1,1,1,1
266,ASV1944,1,1,1,1,1,1,1
267,ASV1946,1,1,1,1,1,1,1
268,ASV1963,1,1,1,1,1,1,1
269,ASV1964,1,1,1,1,1,1,1
270,ASV1969,1,1,1,1,1,1,1
271,ASV2005,1,1,1,1,1,1,1
272,ASV2007,1,1,1,1,1,1,1
273,ASV2008,1,1,1,1,1,1,1
274,ASV2016,1,1,1,1,1,1,1
275,ASV2018,1,1,1,1,1,1,1
276,ASV2021,1,1,1,1,1,1,1
277,ASV2029,1,1,1,1,1,1,1
278,ASV2046,1,1,1,1,1,1,1
279,ASV2052,1,1,1,1,1,1,1
280,ASV2058,1,1,1,1,1,1,1
281,ASV2062,1,1,1,1,1,1,1
282,ASV2074,1,1,1,1,1,1,1
283,ASV2088,1,1,1,1,1,1,1
284,ASV2089,1,1,1,1,1,1,1
285,ASV2099,1,1,1,1,1,1,1
286,ASV2100,1,1,1,1,1,1,1
287,ASV2111,1,1,1,1,1,1,1
288,ASV2127,1,1,1,1,1,1,1
289,ASV2129,1,1,1,1,1,1,1
290,ASV2134,1,1,1,1,1,1,1
291,ASV2136,1,1,1,1,1,1,1
292,ASV2151,1,1,1,1,1,1,1
293,ASV2164,1,1,1,1,1,1,1
294,ASV2166,1,1,1,1,1,1,1
295,ASV2169,1,1,1,1,1,1,1
296,ASV2172,1,1,1,1,1,1,1
297,ASV2181,1,1,1,1,1,1,1
298,ASV2212,1,1,1,1,1,1,1
299,ASV2232,1,1,1,1,1,1,1
300,ASV2241,1,1,1,1,1,1,1
301,ASV2242,1,1,1,1,1,1,1
302,ASV2243,1,1,1,1,1,1,1
303,ASV2256,1,1,1,1,1,1,1
304,ASV2257,1,1,1,1,1,1,1
305,ASV2273,1,1,1,1,1,1,1
306,ASV2277,1,1,1,1,1,1,1
307,ASV2281,1,1,1,1,1,1,1
308,ASV2284,1,1,1,1,1,1,1
309,ASV2291,1,1,1,1,1,1,1
310,ASV2292,1,1,1,1,1,1,1
311,ASV2298,1,1,1,1,1,1,1
312,ASV2330,1,1,1,1,1,1,1
313,ASV2332,1,1,1,1,1,1,1
314,ASV2351,1,1,1,1,1,1,1
315,ASV2352,1,1,1,1,1,1,1
316,ASV2359,1,1,1,1,1,1,1
317,ASV2372,1,1,1,1,1,1,1
318,ASV2378,1,1,1,1,1,1,1
319,ASV2389,1,1,1,1,1,1,1
320,ASV2390,1,1,1,1,1,1,1
321,ASV2391,1,1,1,1,1,1,1
322,ASV2406,1,1,1,1,1,1,1
323,ASV2411,1,1,1,1,1,1,1
324,ASV2463,1,1,1,1,1,1,1
325,ASV2474,1,1,1,1,1,1,1
326,ASV2475,1,1,1,1,1,1,1
327,ASV2489,1,1,1,1,1,1,1
328,ASV2502,1,1,1,1,1,1,1
329,ASV2505,1,1,1,1,1,1,1
330,ASV2507,1,1,1,1,1,1,1
331,ASV2512,1,1,1,1,1,1,1
332,ASV2522,1,1,1,1,1,1,1
333,ASV2528,1,1,1,1,1,1,1
334,ASV2532,1,1,1,1,1,1,1
335,ASV2568,1,1,1,1,1,1,1
336,ASV2607,1,1,1,1,1,1,1
337,ASV2615,1,1,1,1,1,1,1
338,ASV2625,1,1,1,1,1,1,1
339,ASV2634,1,1,1,1,1,1,1
340,ASV2645,1,1,1,1,1,1,1
341,ASV2648,1,1,1,1,1,1,1
342,ASV2649,1,1,1,1,1,1,1
343,ASV2661,1,1,1,1,1,1,1
344,ASV2663,1,1,1,1,1,1,1
345,ASV2665,1,1,1,1,1,1,1
346,ASV2667,1,1,1,1,1,1,1
347,ASV2680,1,1,1,1,1,1,1
348,ASV2681,1,1,1,1,1,1,1
349,ASV2694,1,1,1,1,1,1,1
350,ASV2697,1,1,1,1,1,1,1
351,ASV2720,1,1,1,1,1,1,1
352,ASV2722,1,1,1,1,1,1,1
353,ASV2732,1,1,1,1,1,1,1
354,ASV2739,1,1,1,1,1,1,1
355,ASV2747,1,1,1,1,1,1,1
356,ASV2753,1,1,1,1,1,1,1
357,ASV2759,1,1,1,1,1,1,1
358,ASV2762,1,1,1,1,1,1,1
359,ASV2763,1,1,1,1,1,1,1
360,ASV2766,1,1,1,1,1,1,1
361,ASV2774,1,1,1,1,1,1,1
362,ASV2778,1,1,1,1,1,1,1
363,ASV2786,1,1,1,1,1,1,1
364,ASV2793,1,1,1,1,1,1,1
365,ASV2800,1,1,1,1,1,1,1
366,ASV2804,1,1,1,1,1,1,1
367,ASV2824,1,1,1,1,1,1,1
368,ASV2825,1,1,1,1,1,1,1
369,ASV2845,1,1,1,1,1,1,1
370,ASV2848,1,1,1,1,1,1,1
371,ASV2851,1,1,1,1,1,1,1
372,ASV2853,1,1,1,1,1,1,1
373,ASV2854,1,1,1,1,1,1,1
374,ASV2858,1,1,1,1,1,1,1
375,ASV2859,1,1,1,1,1,1,1
376,ASV2862,1,1,1,1,1,1,1
377,ASV2903,1,1,1,1,1,1,1
378,ASV2907,1,1,1,1,1,1,1
379,ASV2926,1,1,1,1,1,1,1
380,ASV2930,1,1,1,1,1,1,1
381,ASV2937,1,1,1,1,1,1,1
382,ASV2940,1,1,1,1,1,1,1
383,ASV2953,1,1,1,1,1,1,1
384,ASV2955,1,1,1,1,1,1,1
385,ASV2962,1,1,1,1,1,1,1
386,ASV2972,1,1,1,1,1,1,1
387,ASV2977,1,1,1,1,1,1,1
388,ASV2981,1,1,1,1,1,1,1
389,ASV2988,1,1,1,1,1,1,1
390,ASV2993,1,1,1,1,1,1,1
391,ASV3020,1,1,1,1,1,1,1
392,ASV3027,1,1,1,1,1,1,1
393,ASV3031,1,1,1,1,1,1,1
394,ASV3041,1,1,1,1,1,1,1
395,ASV3048,1,1,1,1,1,1,1
396,ASV3052,1,1,1,1,1,1,1
397,ASV3054,1,1,1,1,1,1,1
398,ASV3058,1,1,1,1,1,1,1
399,ASV3082,1,1,1,1,1,1,1
400,ASV3086,1,1,1,1,1,1,1
401,ASV3088,1,1,1,1,1,1,1
402,ASV3092,1,1,1,1,1,1,1
403,ASV3098,1,1,1,1,1,1,1
404,ASV3104,1,1,1,1,1,1,1
405,ASV3105,1,1,1,1,1,1,1
406,ASV3106,1,1,1,1,1,1,1
407,ASV3118,1,1,1,1,1,1,1
408,ASV3119,1,1,1,1,1,1,1
409,ASV3142,1,1,1,1,1,1,1
410,ASV3146,1,1,1,1,1,1,1
411,ASV3167,1,1,1,1,1,1,1
412,ASV3169,1,1,1,1,1,1,1
413,ASV3173,1,1,1,1,1,1,1
414,ASV3174,1,1,1,1,1,1,1
415,ASV3176,1,1,1,1,1,1,1
416,ASV3178,1,1,1,1,1,1,1
417,ASV3198,1,1,1,1,1,1,1
418,ASV3220,1,1,1,1,1,1,1
419,ASV3231,1,1,1,1,1,1,1
420,ASV3239,1,1,1,1,1,1,1
421,ASV3254,1,1,1,1,1,1,1
422,ASV3258,1,1,1,1,1,1,1
423,ASV3273,1,1,1,1,1,1,1
424,ASV3283,1,1,1,1,1,1,1
425,ASV3318,1,1,1,1,1,1,1
426,ASV3344,1,1,1,1,1,1,1
427,ASV3346,1,1,1,1,1,1,1
428,ASV3361,1,1,1,1,1,1,1
429,ASV3363,1,1,1,1,1,1,1
430,ASV3372,1,1,1,1,1,1,1
431,ASV3377,1,1,1,1,1,1,1
432,ASV3378,1,1,1,1,1,1,1
433,ASV3383,1,1,1,1,1,1,1
434,ASV3385,1,1,1,1,1,1,1
435,ASV3392,1,1,1,1,1,1,1
436,ASV3394,1,1,1,1,1,1,1
437,ASV3408,1,1,1,1,1,1,1
438,ASV3409,1,1,1,1,1,1,1
439,ASV3410,1,1,1,1,1,1,1
440,ASV3422,1,1,1,1,1,1,1
441,ASV3429,1,1,1,1,1,1,1
442,ASV3431,1,1,1,1,1,1,1
443,ASV3435,1,1,1,1,1,1,1
444,ASV3438,1,1,1,1,1,1,1
445,ASV3441,1,1,1,1,1,1,1
446,ASV3452,1,1,1,1,1,1,1
447,ASV3460,1,1,1,1,1,1,1
448,ASV3464,1,1,1,1,1,1,1
449,ASV3465,1,1,1,1,1,1,1
450,ASV3470,1,1,1,1,1,1,1
451,ASV3501,1,1,1,1,1,1,1
452,ASV3516,1,1,1,1,1,1,1
453,ASV3518,1,1,1,1,1,1,1
454,ASV3539,1,1,1,1,1,1,1
455,ASV3543,1,1,1,1,1,1,1
456,ASV3546,1,1,1,1,1,1,1
457,ASV3567,1,1,1,1,1,1,1
458,ASV3579,1,1,1,1,1,1,1
459,ASV3581,1,1,1,1,1,1,1
460,ASV3582,1,1,1,1,1,1,1
461,ASV3585,1,1,1,1,1,1,1
462,ASV3586,1,1,1,1,1,1,1
463,ASV3590,1,1,1,1,1,1,1
464,ASV3597,1,1,1,1,1,1,1
465,ASV3610,1,1,1,1,1,1,1
466,ASV3620,1,1,1,1,1,1,1
467,ASV3634,1,1,1,1,1,1,1
468,ASV3636,1,1,1,1,1,1,1
469,ASV3648,1,1,1,1,1,1,1
470,ASV3656,1,1,1,1,1,1,1
471,ASV3668,1,1,1,1,1,1,1
472,ASV3671,1,1,1,1,1,1,1
473,ASV3683,1,1,1,1,1,1,1
474,ASV3693,1,1,1,1,1,1,1
475,ASV3695,1,1,1,1,1,1,1
476,ASV3726,1,1,1,1,1,1,1
477,ASV3741,1,1,1,1,1,1,1
478,ASV3754,1,1,1,1,1,1,1
479,ASV3768,1,1,1,1,1,1,1
480,ASV3775,1,1,1,1,1,1,1
481,ASV3798,1,1,1,1,1,1,1
482,ASV3802,1,1,1,1,1,1,1
483,ASV3804,1,1,1,1,1,1,1
484,ASV3817,1,1,1,1,1,1,1
485,ASV3846,1,1,1,1,1,1,1
486,ASV3851,1,1,1,1,1,1,1
487,ASV3858,1,1,1,1,1,1,1
488,ASV3860,1,1,1,1,1,1,1
489,ASV3882,1,1,1,1,1,1,1
490,ASV3893,1,1,1,1,1,1,1
491,ASV3920,1,1,1,1,1,1,1
492,ASV3965,1,1,1,1,1,1,1
493,ASV3970,1,1,1,1,1,1,1
494,ASV3982,1,1,1,1,1,1,1
495,ASV3986,1,1,1,1,1,1,1
496,ASV4022,1,1,1,1,1,1,1
497,ASV4047,1,1,1,1,1,1,1
498,ASV4052,1,1,1,1,1,1,1
499,ASV4064,1,1,1,1,1,1,1
500,ASV4081,1,1,1,1,1,1,1
501,ASV4084,1,1,1,1,1,1,1
502,ASV4088,1,1,1,1,1,1,1
503,ASV4094,1,1,1,1,1,1,1
504,ASV4102,1,1,1,1,1,1,1
505,ASV4104,1,1,1,1,1,1,1
506,ASV4108,1,1,1,1,1,1,1
507,ASV4113,1,1,1,1,1,1,1
508,ASV4120,1,1,1,1,1,1,1
509,ASV4123,1,1,1,1,1,1,1
510,ASV4135,1,1,1,1,1,1,1
511,ASV4136,1,1,1,1,1,1,1
512,ASV4146,1,1,1,1,1,1,1
513,ASV4158,1,1,1,1,1,1,1
514,ASV4159,1,1,1,1,1,1,1
515,ASV4189,1,1,1,1,1,1,1
516,ASV4202,1,1,1,1,1,1,1
517,ASV4212,1,1,1,1,1,1,1
518,ASV4223,1,1,1,1,1,1,1
519,ASV4227,1,1,1,1,1,1,1
520,ASV4238,1,1,1,1,1,1,1
521,ASV4245,1,1,1,1,1,1,1
522,ASV4269,1,1,1,1,1,1,1
523,ASV4273,1,1,1,1,1,1,1
524,ASV4274,1,1,1,1,1,1,1
525,ASV4275,1,1,1,1,1,1,1
526,ASV4279,1,1,1,1,1,1,1
527,ASV4280,1,1,1,1,1,1,1
528,ASV4281,1,1,1,1,1,1,1
529,ASV4310,1,1,1,1,1,1,1
530,ASV4338,1,1,1,1,1,1,1
531,ASV4351,1,1,1,1,1,1,1
532,ASV4353,1,1,1,1,1,1,1
533,ASV4354,1,1,1,1,1,1,1
534,ASV4356,1,1,1,1,1,1,1
535,ASV4373,1,1,1,1,1,1,1
536,ASV4386,1,1,1,1,1,1,1
537,ASV4391,1,1,1,1,1,1,1
538,ASV4400,1,1,1,1,1,1,1
539,ASV4402,1,1,1,1,1,1,1
540,ASV4414,1,1,1,1,1,1,1
541,ASV4420,1,1,1,1,1,1,1
542,ASV4421,1,1,1,1,1,1,1
543,ASV4425,1,1,1,1,1,1,1
544,ASV4426,1,1,1,1,1,1,1
545,ASV4430,1,1,1,1,1,1,1
546,ASV4436,1,1,1,1,1,1,1
547,ASV4452,1,1,1,1,1,1,1
548,ASV4470,1,1,1,1,1,1,1
549,ASV4478,1,1,1,1,1,1,1
550,ASV4507,1,1,1,1,1,1,1
551,ASV4509,1,1,1,1,1,1,1
552,ASV4515,1,1,1,1,1,1,1
553,ASV4523,1,1,1,1,1,1,1
554,ASV4528,1,1,1,1,1,1,1
555,ASV4556,1,1,1,1,1,1,1
556,ASV4562,1,1,1,1,1,1,1
557,ASV4576,1,1,1,1,1,1,1
558,ASV4578,1,1,1,1,1,1,1
559,ASV4583,1,1,1,1,1,1,1
560,ASV4614,1,1,1,1,1,1,1
561,ASV4616,1,1,1,1,1,1,1
562,ASV4626,1,1,1,1,1,1,1
563,ASV4634,1,1,1,1,1,1,1
564,ASV4643,1,1,1,1,1,1,1
565,ASV4696,1,1,1,1,1,1,1
566,ASV4700,1,1,1,1,1,1,1
567,ASV4702,1,1,1,1,1,1,1
568,ASV4713,1,1,1,1,1,1,1
569,ASV4715,1,1,1,1,1,1,1
570,ASV4721,1,1,1,1,1,1,1
571,ASV4736,1,1,1,1,1,1,1
572,ASV4752,1,1,1,1,1,1,1
573,ASV4766,1,1,1,1,1,1,1
574,ASV4782,1,1,1,1,1,1,1
575,ASV4794,1,1,1,1,1,1,1
576,ASV4806,1,1,1,1,1,1,1
577,ASV4812,1,1,1,1,1,1,1
578,ASV4816,1,1,1,1,1,1,1
579,ASV4822,1,1,1,1,1,1,1
580,ASV4832,1,1,1,1,1,1,1
581,ASV4849,1,1,1,1,1,1,1
582,ASV4868,1,1,1,1,1,1,1
583,ASV4876,1,1,1,1,1,1,1
584,ASV4901,1,1,1,1,1,1,1
585,ASV4912,1,1,1,1,1,1,1
586,ASV4918,1,1,1,1,1,1,1
587,ASV4926,1,1,1,1,1,1,1
588,ASV4930,1,1,1,1,1,1,1
589,ASV4932,1,1,1,1,1,1,1
590,ASV4935,1,1,1,1,1,1,1
591,ASV4944,1,1,1,1,1,1,1
592,ASV4946,1,1,1,1,1,1,1
593,ASV4955,1,1,1,1,1,1,1
594,ASV4967,1,1,1,1,1,1,1
595,ASV4971,1,1,1,1,1,1,1
596,ASV4988,1,1,1,1,1,1,1
597,ASV4989,1,1,1,1,1,1,1
598,ASV5010,1,1,1,1,1,1,1
599,ASV5039,1,1,1,1,1,1,1
600,ASV5058,1,1,1,1,1,1,1
601,ASV5063,1,1,1,1,1,1,1
602,ASV5065,1,1,1,1,1,1,1
603,ASV5067,1,1,1,1,1,1,1
604,ASV5068,1,1,1,1,1,1,1
605,ASV5071,1,1,1,1,1,1,1
606,ASV5075,1,1,1,1,1,1,1
607,ASV5089,1,1,1,1,1,1,1
608,ASV5104,1,1,1,1,1,1,1
609,ASV5118,1,1,1,1,1,1,1
610,ASV5122,1,1,1,1,1,1,1
611,ASV5134,1,1,1,1,1,1,1
612,ASV5153,1,1,1,1,1,1,1
613,ASV5157,1,1,1,1,1,1,1
614,ASV5162,1,1,1,1,1,1,1
615,ASV5167,1,1,1,1,1,1,1
616,ASV5168,1,1,1,1,1,1,1
617,ASV5171,1,1,1,1,1,1,1
618,ASV5172,1,1,1,1,1,1,1
619,ASV5177,1,1,1,1,1,1,1
620,ASV5182,1,1,1,1,1,1,1
621,ASV5185,1,1,1,1,1,1,1
622,ASV5193,1,1,1,1,1,1,1
623,ASV5196,1,1,1,1,1,1,1
624,ASV5206,1,1,1,1,1,1,1
625,ASV5211,1,1,1,1,1,1,1
626,ASV5213,1,1,1,1,1,1,1
627,ASV5217,1,1,1,1,1,1,1
628,ASV5227,1,1,1,1,1,1,1
629,ASV5235,1,1,1,1,1,1,1
630,ASV5251,1,1,1,1,1,1,1
631,ASV5259,1,1,1,1,1,1,1
632,ASV5279,1,1,1,1,1,1,1
633,ASV5292,1,1,1,1,1,1,1
634,ASV5295,1,1,1,1,1,1,1
635,ASV5300,1,1,1,1,1,1,1
636,ASV5318,1,1,1,1,1,1,1
