OTU,ALancangBesar,BPari,CTidung,DKarangBeras,EPramuka,FKotok,GSepa,Rowsums
ASV4597,0,368,1683,27,100,14,15,2207
ASV7665,112,263,436,442,400,236,312,2201
ASV3346,50,274,148,244,298,557,626,2197
ASV6232,22,713,15,640,418,313,76,2197
ASV2940,159,154,669,354,421,184,250,2191
ASV2661,173,485,285,335,301,379,213,2171
ASV3104,23,516,1128,75,87,207,131,2167
ASV7757,89,204,256,421,363,265,555,2153
ASV1695,228,217,459,342,309,382,204,2141
ASV10887,80,317,198,184,400,548,406,2133
ASV6528,136,229,106,349,331,314,631,2096
ASV10288,84,279,139,233,231,701,428,2095
ASV1262,23,346,209,156,139,717,502,2092
ASV7768,88,214,488,277,288,362,374,2091
ASV7509,54,519,122,96,628,607,13,2039
ASV8450,96,314,206,239,396,461,323,2035
ASV924,24,22,27,1478,92,118,273,2034
ASV4617,22,25,1952,9,18,4,0,2030
ASV1094,36,174,546,452,262,179,377,2026
ASV2391,13,342,1091,199,74,176,125,2020
ASV2804,72,175,92,237,479,547,414,2016
ASV8352,1091,106,18,363,284,104,30,1996
ASV1867,72,240,81,192,215,525,645,1970
ASV26856,126,144,252,199,215,845,150,1931
ASV3817,208,123,473,410,255,209,248,1926
ASV17386,0,0,1884,0,0,32,0,1916
ASV23607,38,116,238,239,403,391,489,1914
ASV9739,35,182,239,41,709,671,36,1913
ASV612,152,72,101,379,123,83,984,1894
ASV667,21,619,113,765,4,31,322,1875
ASV12485,182,170,433,253,254,370,209,1871
ASV1476,0,22,882,200,156,531,54,1845
ASV6719,97,215,152,373,454,343,208,1842
ASV16048,1,317,880,0,36,568,20,1822
ASV994,209,523,254,214,190,176,248,1814
ASV4136,46,196,324,234,255,503,256,1814
ASV2277,74,124,306,400,344,228,325,1801
ASV8136,177,106,1144,138,40,19,168,1792
ASV13946,162,120,422,207,416,301,153,1781
ASV9154,106,138,450,317,253,308,204,1776
ASV1606,92,113,125,178,263,485,513,1769
ASV7497,100,145,408,283,318,303,204,1761
ASV2722,269,267,91,239,195,448,246,1755
ASV626,127,122,108,208,330,395,453,1743
ASV1969,62,252,69,176,240,470,470,1739
ASV1284,249,169,197,132,292,456,226,1721
ASV3058,221,211,299,227,264,245,254,1721
ASV8307,79,194,354,300,280,252,252,1711
ASV1086,52,105,281,210,496,355,194,1693
ASV4715,114,131,310,248,291,281,317,1692
ASV12666,10,94,229,797,227,258,62,1677
ASV524,59,133,343,253,214,245,424,1671
ASV649,89,77,316,170,473,415,130,1670
ASV8369,36,122,296,197,136,636,236,1659
ASV12765,58,181,369,22,160,373,485,1648
ASV3668,135,119,372,164,158,592,105,1645
ASV4123,9,73,220,606,645,43,48,1644
ASV11425,19,294,89,197,127,570,341,1637
ASV8628,28,54,424,534,72,460,57,1629
ASV2765,0,1,2,4,730,890,0,1627
ASV315,75,273,77,227,339,256,374,1621
ASV5168,56,117,329,141,155,465,349,1612
ASV9693,41,533,151,154,83,35,613,1610
ASV359,160,246,439,193,136,288,130,1592
ASV16064,130,143,328,277,262,178,266,1584
ASV3394,84,240,66,200,166,577,240,1573
ASV3231,107,74,320,247,303,430,84,1565
ASV9629,50,145,242,290,308,206,324,1565
ASV4400,77,102,407,247,199,342,190,1564
ASV3435,23,258,192,109,306,441,229,1558
ASV2766,41,250,122,150,284,379,327,1553
ASV515,0,15,0,1053,161,153,139,1521
ASV14171,0,650,789,0,48,14,16,1517
ASV226,88,129,245,436,190,239,187,1514
ASV1041,103,136,45,125,361,200,543,1513
ASV2778,117,192,169,194,342,215,283,1512
ASV2016,24,139,94,481,159,252,352,1501
ASV4108,49,164,352,186,160,192,398,1501
ASV4436,141,203,275,290,216,194,180,1499
ASV7781,128,178,54,150,287,369,328,1494
ASV3105,78,211,270,243,255,146,287,1490
ASV5300,164,232,110,149,261,326,239,1481
ASV724,77,189,236,267,343,194,169,1475
ASV2720,113,141,320,198,266,263,171,1472
ASV24123,80,215,100,209,224,344,298,1470
ASV4047,44,174,230,262,356,243,154,1463
ASV6131,29,311,3,152,677,259,11,1442
ASV2825,85,196,153,220,250,396,141,1441
ASV14632,269,305,98,134,389,114,131,1440
ASV2181,95,109,364,252,304,170,138,1432
ASV6983,0,83,718,21,90,418,97,1427
ASV2135,0,45,173,130,209,379,490,1426
ASV11586,0,0,5,1,849,552,0,1407
ASV4373,40,93,158,203,285,163,460,1402
ASV9700,4,21,0,48,1249,43,31,1396
ASV8756,45,55,146,947,80,88,33,1394
ASV4696,116,102,416,187,128,174,266,1389
ASV6884,30,109,192,254,275,177,333,1370
ASV9400,36,0,25,536,745,10,17,1369
ASV11129,18,105,333,134,102,97,577,1366
ASV6491,3,87,247,170,312,247,294,1360
ASV6005,120,332,196,93,268,113,236,1358
ASV15480,122,17,25,601,246,185,162,1358
ASV6621,0,71,349,234,644,0,57,1355
ASV950,20,87,47,92,91,614,392,1343
ASV5262,48,0,19,229,120,0,925,1341
ASV2256,45,179,244,94,180,215,382,1339
ASV2392,40,0,185,438,146,134,394,1337
ASV5838,82,165,271,304,186,120,209,1337
ASV295,37,117,313,280,145,271,170,1333
ASV16132,0,704,356,194,77,0,2,1333
ASV6354,101,135,214,194,281,139,260,1324
ASV11081,47,119,472,128,191,290,68,1315
ASV12749,103,18,1003,62,30,59,34,1309
ASV7374,72,78,193,90,223,529,116,1301
ASV13029,3,118,214,105,340,128,393,1301
ASV13598,219,130,212,45,199,302,194,1301
ASV4523,73,121,202,173,327,205,196,1297
ASV6461,167,222,239,177,146,212,126,1289
ASV926,74,90,247,96,106,260,415,1288
ASV19417,111,170,200,174,186,244,202,1287
ASV3167,82,237,28,149,284,266,232,1278
ASV8539,123,144,305,214,176,174,132,1268
ASV22227,63,137,178,128,209,336,214,1265
ASV6141,162,241,115,144,348,107,142,1259
ASV1717,52,59,135,519,145,264,84,1258
ASV1681,27,175,174,153,290,189,245,1253
ASV8529,30,139,136,108,137,501,201,1252
ASV5749,50,113,227,220,147,245,228,1230
ASV15210,80,121,3,175,157,413,257,1206
ASV17685,66,65,0,193,818,0,62,1204
ASV15012,95,105,177,233,290,190,97,1187
ASV382,9,77,627,80,263,63,65,1184
ASV3723,0,0,239,62,20,847,0,1168
ASV4507,110,74,264,141,84,357,125,1155
ASV1539,39,95,72,357,179,97,301,1140
ASV1526,58,55,247,175,203,159,235,1132
ASV19722,40,124,70,203,288,29,376,1130
ASV4989,8,82,435,30,76,258,237,1126
ASV9823,44,113,240,291,240,81,115,1124
ASV13622,24,173,0,594,93,0,240,1124
ASV3656,19,26,327,222,129,159,236,1118
ASV24824,42,254,56,104,201,229,219,1105
ASV6256,2,60,88,137,268,87,460,1102
ASV6757,62,83,82,234,290,16,332,1099
ASV21435,111,167,164,15,207,253,182,1099
ASV5857,42,0,0,0,157,791,105,1095
ASV3539,81,99,189,303,162,118,138,1090
ASV11076,107,126,221,170,129,192,143,1088
ASV19055,117,168,162,256,161,89,134,1087
ASV1382,335,23,41,199,204,28,256,1086
ASV716,22,453,218,86,122,89,92,1082
ASV5466,0,29,1032,0,11,4,0,1076
ASV6513,27,115,138,238,186,86,284,1074
ASV2851,56,28,18,657,49,140,115,1063
ASV5812,184,114,113,236,248,55,111,1061
ASV2088,48,135,52,120,149,310,238,1052
ASV1661,457,104,30,97,125,83,155,1051
ASV6703,4,4,202,573,17,248,0,1048
ASV10356,14,108,209,158,211,160,179,1039
ASV12591,82,92,240,148,133,103,233,1031
ASV2359,12,35,285,61,111,97,418,1019
ASV3198,1,26,326,34,257,350,22,1016
ASV4643,44,245,107,151,81,127,260,1015
ASV400,46,11,347,294,130,71,115,1014
ASV7554,41,34,75,502,89,48,225,1014
ASV14542,70,118,183,146,150,166,181,1014
ASV3318,13,71,284,110,183,208,144,1013
ASV6197,154,231,157,138,125,137,71,1013
ASV573,56,117,187,147,142,128,229,1006
ASV1305,62,74,242,137,142,190,154,1001
ASV12301,42,218,61,89,135,264,185,994
ASV7688,21,72,130,517,117,29,107,993
ASV8249,47,144,171,102,283,115,125,987
ASV8189,11,17,181,204,205,22,346,986
ASV8820,5,112,703,0,92,71,3,986
ASV3088,44,115,151,168,157,176,174,985
ASV4754,14,36,716,0,0,197,14,977
ASV1405,111,69,169,126,230,127,140,972
ASV5553,130,126,173,136,191,140,74,970
ASV5292,29,19,140,488,135,57,90,958
ASV25168,62,82,27,113,225,136,313,958
ASV478,20,341,32,153,153,149,107,955
ASV4202,90,99,152,120,291,92,111,955
ASV487,28,12,0,659,17,0,234,950
ASV21649,8,0,0,560,235,78,69,950
ASV2555,0,8,0,740,0,93,105,946
ASV4971,34,77,164,183,145,126,216,945
ASV3882,105,53,172,95,217,133,167,942
ASV5808,33,81,82,83,139,295,225,938
ASV1437,13,21,272,151,227,112,141,937
ASV2815,7,87,729,0,42,56,16,937
ASV1928,77,115,214,12,183,222,112,935
ASV2005,27,397,18,307,72,57,57,935
ASV10150,0,379,28,487,41,0,0,935
ASV2099,48,41,148,66,125,87,413,928
ASV13510,29,104,147,183,199,84,181,927
ASV6202,17,38,5,229,8,535,89,921
ASV4603,0,51,53,25,180,155,456,920
ASV2811,0,250,32,17,21,585,14,919
ASV1395,77,118,58,149,149,171,196,918
ASV14856,0,256,46,155,460,0,0,917
ASV18081,5,903,0,0,3,0,0,911
ASV960,3,90,249,72,169,127,195,905
ASV1011,48,96,84,194,200,94,188,904
ASV4391,3,5,455,194,114,9,122,902
ASV9469,49,120,165,105,56,158,248,901
ASV740,45,106,146,61,157,190,187,892
ASV6734,25,117,173,104,180,136,154,889
ASV3798,141,86,157,80,233,91,98,886
ASV4935,10,387,10,48,38,336,55,884
ASV5233,6,1,7,4,6,0,858,882
ASV7575,34,149,141,107,170,80,201,882
ASV11149,0,108,7,671,64,1,30,881
ASV9396,25,83,40,82,100,219,331,880
ASV6173,44,46,44,39,188,127,391,879
ASV12375,138,0,166,0,446,99,27,876
ASV871,29,111,242,65,182,147,96,872
ASV5206,60,74,263,123,219,59,74,872
ASV1581,23,43,228,68,161,271,75,869
ASV2762,66,80,212,95,149,89,159,850
ASV14786,43,93,203,129,142,132,106,848
ASV8979,69,105,169,42,233,189,39,846
ASV22556,9,71,187,76,63,161,277,844
ASV8687,0,61,665,82,0,24,6,838
ASV5906,10,232,192,84,118,51,150,837
ASV25080,1,8,828,0,0,0,0,837
ASV2089,4,38,486,68,138,41,61,836
ASV5122,36,121,168,116,88,185,120,834
ASV5235,52,50,60,170,194,81,225,832
ASV1864,14,107,177,163,94,141,133,829
ASV2185,11,218,135,413,24,0,28,829
ASV8849,63,76,207,137,117,160,66,826
ASV7911,0,3,0,55,726,16,24,824
ASV7258,47,62,208,138,310,31,25,821
ASV1574,21,42,1,352,203,24,177,820
ASV4470,93,91,67,132,186,129,121,819
ASV9915,50,78,39,185,109,94,261,816
ASV962,30,48,205,98,223,174,36,814
ASV2649,14,130,208,72,87,76,223,810
ASV8034,72,98,154,121,135,140,85,805
ASV10491,11,64,32,152,304,36,202,801
ASV12070,34,81,0,294,194,90,107,800
ASV3431,96,112,150,174,120,59,88,799
ASV1260,100,22,120,78,123,250,103,796
ASV22308,16,124,80,82,27,271,192,792
ASV6031,0,767,8,0,10,3,3,791
ASV2111,21,42,32,25,11,116,537,784
ASV15477,147,463,0,34,5,2,130,781
ASV12771,108,0,15,3,0,646,8,780
ASV1010,9,86,105,108,107,184,179,778
ASV2291,47,82,127,117,138,117,149,777
ASV9802,0,47,681,19,20,0,8,775
ASV4022,42,76,141,159,84,133,137,772
ASV12159,8,55,597,32,0,20,59,771
ASV11534,0,0,0,769,1,0,0,770
ASV6033,10,105,134,41,126,178,174,768
ASV3287,0,58,0,324,233,87,57,759
ASV8570,32,49,205,87,138,139,109,759
ASV1532,86,85,134,121,105,137,90,758
ASV5375,33,31,63,428,35,81,87,758
ASV3361,21,19,135,52,90,41,398,756
ASV1722,12,106,160,112,87,143,135,755
ASV12361,63,61,102,216,123,25,160,750
ASV963,70,55,118,137,127,101,141,749
ASV19379,0,0,0,65,679,0,0,744
ASV5157,60,28,145,161,100,138,104,736
ASV6959,21,78,144,87,70,175,160,735
ASV12888,0,0,19,0,0,716,0,735
ASV12976,51,58,197,127,107,110,83,733
ASV294,2,32,200,129,132,153,84,732
ASV1196,21,13,197,50,97,150,203,731
ASV3408,15,36,161,160,188,73,97,730
ASV392,6,0,18,0,16,379,310,729
ASV5196,19,81,173,68,42,88,258,729
ASV9406,10,65,130,119,100,123,181,728
ASV6246,46,74,149,99,141,106,109,724
ASV10272,26,42,187,123,122,74,147,721
ASV1349,17,54,39,64,121,108,316,719
ASV1859,19,88,34,86,434,19,39,719
ASV17816,0,102,159,1,46,70,341,719
ASV1161,59,28,197,124,55,149,106,718
ASV1193,19,111,205,68,142,76,97,718
ASV3423,7,221,0,263,55,5,166,717
ASV6612,29,85,151,81,137,160,73,716
ASV20782,15,562,66,0,0,39,34,716
ASV3695,13,53,39,63,62,201,284,715
ASV3383,20,43,195,114,78,86,178,714
ASV1241,115,0,0,249,312,0,37,713
ASV10069,60,46,123,139,119,72,152,711
ASV14904,84,99,83,134,137,97,76,710
ASV12535,61,98,143,113,87,84,122,708
ASV1660,35,46,98,114,137,59,215,704
ASV1444,67,38,134,235,65,78,82,699
ASV937,25,33,185,106,84,92,172,697
ASV1188,36,59,171,66,57,94,214,697
ASV15635,93,61,154,111,109,99,70,697
ASV4988,80,69,131,69,158,117,72,696
ASV8597,61,64,161,94,135,108,73,696
ASV3174,20,60,160,97,60,90,208,695
ASV3470,28,107,159,164,83,94,60,695
ASV4806,36,127,123,86,96,90,136,694
ASV258,46,81,87,142,137,152,47,692
ASV1432,112,78,67,157,146,65,67,692
ASV4844,0,2,86,0,0,604,0,692
ASV4918,51,86,118,161,93,103,78,690
ASV15535,62,14,89,87,277,114,47,690
ASV10135,52,41,138,94,183,81,98,687
ASV8221,1,21,160,48,72,111,270,683
ASV7860,0,0,180,63,28,253,157,681
ASV946,108,19,39,107,169,62,175,679
ASV1752,50,94,113,96,103,107,116,679
ASV3190,43,52,419,102,19,0,43,678
ASV4912,75,81,131,99,105,72,114,677
ASV1883,63,61,115,64,147,88,137,675
ASV4014,10,31,452,0,4,157,20,674
ASV23186,33,52,191,102,129,101,65,673
ASV5430,50,85,51,230,51,114,90,671
ASV815,26,14,159,143,142,83,103,670
ASV11277,15,0,138,0,1,52,460,666
ASV5167,57,123,110,76,82,87,129,664
ASV5613,35,87,89,93,164,89,107,664
ASV7493,40,48,131,114,120,127,84,664
ASV2062,42,67,92,53,109,68,229,660
ASV3263,0,0,128,0,530,0,0,658
ASV4088,27,88,116,114,61,124,128,658
ASV15263,0,67,34,74,36,246,201,658
ASV7990,60,11,267,120,101,56,41,656
ASV6362,57,89,99,140,107,43,120,655
ASV7486,0,0,0,0,0,655,0,655
ASV5598,73,56,117,71,127,61,149,654
ASV1964,24,30,35,67,27,365,104,652
ASV6479,35,130,41,28,97,279,42,652
ASV10018,70,64,74,108,175,56,105,652
ASV2241,23,60,88,45,87,164,183,650
ASV3410,37,99,41,71,65,213,124,650
ASV24648,29,166,38,54,10,245,106,648
ASV10043,0,0,0,0,0,0,646,646
ASV821,56,69,108,57,37,130,187,644
ASV9490,55,49,112,98,108,135,86,643
ASV155,49,56,88,172,166,35,75,641
ASV430,0,0,67,193,215,19,140,634
ASV2663,23,106,104,58,113,151,75,630
ASV2759,3,9,79,109,63,270,97,630
ASV11695,27,4,0,74,306,0,217,628
ASV12800,31,34,85,163,160,60,95,628
ASV111,59,93,26,51,78,151,163,621
ASV11740,0,619,0,0,0,0,2,621
ASV1828,87,38,103,82,104,130,76,620
ASV2007,14,26,101,226,35,188,27,617
ASV3845,0,59,130,66,98,205,57,615
ASV5596,15,46,174,132,120,21,107,615
ASV20288,18,85,0,226,238,27,19,613
ASV3239,207,51,83,132,23,87,29,612
ASV17957,17,98,39,35,85,215,121,610
ASV25937,8,59,170,54,202,62,54,609
ASV3377,26,92,98,107,130,36,117,606
ASV5378,27,101,133,43,114,160,28,606
ASV219,26,24,101,110,114,188,40,603
ASV3586,148,176,63,27,89,34,65,602
ASV2390,48,33,129,71,91,79,150,601
ASV2680,3,42,53,22,54,367,59,600
ASV5095,0,156,36,335,0,71,0,598
ASV1694,43,60,133,129,96,71,65,597
ASV7103,0,185,6,31,1,0,372,595
ASV2845,41,42,70,73,199,25,144,594
ASV19393,91,46,52,28,45,166,165,593
ASV5323,7,259,0,324,0,0,2,592
ASV5355,54,40,106,75,113,96,108,592
ASV17801,0,58,534,0,0,0,0,592
ASV5259,17,23,294,152,16,33,55,590
ASV16615,32,123,0,328,3,0,104,590
ASV8050,166,44,4,26,87,208,54,589
ASV12712,59,50,64,150,166,69,31,589
ASV6623,15,67,58,30,42,206,170,588
ASV2532,6,35,146,90,97,93,119,586
ASV277,82,59,132,85,122,59,46,585
ASV5660,14,66,41,109,98,125,132,585
ASV721,13,48,88,83,170,77,104,583
ASV835,63,141,79,70,104,71,55,583
ASV3020,20,45,101,67,127,87,136,583
ASV3610,41,38,56,83,199,90,71,578
ASV5670,21,0,13,416,0,125,0,575
ASV3092,36,67,77,111,75,103,102,571
ASV11538,71,61,105,62,155,60,53,567
ASV2474,37,77,60,97,102,47,146,566
ASV6628,46,113,164,57,17,128,39,564
ASV928,9,18,51,14,55,412,3,562
ASV1690,40,20,102,138,93,42,127,562
ASV5712,0,85,114,24,103,70,165,561
ASV8537,13,39,31,53,104,111,205,556
ASV10040,23,37,98,98,97,50,153,556
ASV744,22,97,112,92,73,79,80,555
ASV1253,6,45,157,84,74,73,116,555
ASV8917,14,76,98,161,89,51,65,554
ASV18243,18,40,84,44,240,99,28,553
ASV5093,0,0,242,0,271,10,29,552
ASV2052,83,73,122,59,104,59,51,551
ASV11108,7,49,83,50,64,133,164,550
ASV3082,74,56,80,38,48,190,63,549
ASV12065,55,44,27,97,153,7,166,549
ASV1701,30,162,24,113,6,176,37,548
ASV4713,25,68,104,94,104,69,83,547
ASV2645,9,133,2,104,127,87,84,546
ASV2977,7,53,134,41,92,119,100,546
ASV474,52,44,99,92,140,25,92,544
ASV10824,0,18,234,111,22,154,2,541
ASV4331,23,80,379,0,21,18,19,540
ASV5177,26,46,21,64,223,9,151,540
ASV8676,4,37,181,40,14,130,134,540
ASV10414,14,49,141,49,96,166,25,540
ASV5063,9,102,15,27,13,196,177,539
ASV16972,4,47,91,94,102,110,90,538
ASV12342,6,31,46,3,13,9,429,537
ASV8396,14,174,51,4,8,15,270,536
ASV20947,35,165,71,72,57,69,67,536
ASV10920,32,0,4,151,343,2,3,535
ASV5493,35,107,75,74,115,29,99,534
ASV17160,16,64,126,39,66,110,112,533
ASV6529,16,29,53,41,113,130,149,531
ASV8051,53,3,110,68,94,148,55,531
ASV1808,97,72,79,68,37,154,23,530
ASV290,36,36,84,56,67,104,146,529
ASV6026,8,57,120,80,127,28,109,529
ASV6517,14,113,23,165,26,68,119,528
ASV1,261,48,47,43,35,35,58,527
ASV4158,24,19,90,50,175,68,101,527
ASV10519,9,31,145,243,75,22,1,526
ASV4002,0,20,83,206,13,101,102,525
ASV4064,38,35,80,40,112,143,77,525
ASV6045,4,48,92,108,78,98,97,525
ASV6146,4,25,147,183,68,42,56,525
ASV10810,42,49,29,63,165,40,135,523
ASV1896,0,44,47,98,76,191,65,521
ASV6861,30,266,82,6,7,110,20,521
ASV10354,41,65,33,92,155,36,98,520
ASV3567,31,42,70,89,112,61,113,518
ASV846,0,58,92,13,135,45,174,517
ASV866,0,27,95,81,192,80,42,517
ASV3726,8,42,197,92,140,10,28,517
ASV10473,36,57,95,70,106,87,66,517
ASV3254,15,67,109,93,95,83,54,516
ASV3458,50,14,418,0,0,34,0,516
ASV9720,0,40,86,54,86,99,151,516
ASV9874,43,31,50,96,132,53,109,514
ASV4159,21,36,72,122,108,44,110,513
ASV7661,0,0,248,0,52,0,213,513
ASV6328,104,10,19,124,108,0,147,512
ASV19161,8,27,181,77,88,64,66,511
ASV10432,8,54,0,126,36,68,217,509
ASV4281,51,61,76,68,73,56,122,507
ASV18802,40,60,62,79,78,109,79,507
ASV1781,11,77,76,105,109,49,79,506
ASV2607,58,57,127,104,48,78,34,506
